id,fullname,shortname,student_count
1299,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 44,DAW-C4A-P4-44,32
1300,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 45,DAW-C4A-P4-45,26
1301,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 47,DAW-C4A-P4-47,77
1302,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 48,DAW-C4A-P4-48,72
1303,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 49,DAW-C4A-P4-49,76
1304,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 50,DAW-C4A-P4-50,75
1305,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 51,DAW-C4A-P4-51,82
1306,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 52,DAW-C4A-P4-52,85
1307,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 53,DAW-C4A-P4-53,80
1308,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 54,DAW-C4A-P4-54,71
1309,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 55,DAW-C4A-P4-55,81
1310,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 56,DAW-C4A-P4-56,73
1311,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 57,DAW-C4A-P4-57,78
1312,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 58,DAW-C4A-P4-58,80
1313,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 60,DAW-C4A-P4-60,73
1314,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 61,DAW-C4A-P4-61,69
1315,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 62,DAW-C4A-P4-62,42
1316,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 63,DAW-C4A-P4-63,29
1317,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 64,DAW-C4A-P4-64,35
1318,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 65,DAW-C4A-P4-65,31
1319,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 68,DAW-C4A-P4-68,41
1320,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 69,DAW-C4A-P4-69,75
1321,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 70,DAW-C4A-P4-70,77
1322,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 67,DAW-C4A-P4-67,74
1323,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 59,DAW-C4A-P4-59,73
1324,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Grupo 36,DAW-C4A-P4-36,75
1325,Coach - Ciclo 4 - P4 - Grupo 2,CO-C4-P4-2,101
1326,Coach - Ciclo 4 - P4 - Grupo 3,CO-C4-P4-3,98
1327,Coach - Ciclo 4 - P4 - Grupo 4,CO-C4-P4-4,101
1328,Coach - Ciclo 4 - P4 - Grupo 5,CO-C4-P4-5,101
1329,Coach - Ciclo 4 - P4 - Grupo 6,CO-C4-P4-6,52
1330,Coach - Ciclo 4 - P4 - Grupo 7,CO-C4-P4-7,100
1331,Coach - Ciclo 4 - P4 - Grupo 8,CO-C4-P4-8,101
1332,Coach - Ciclo 4 - P4 - Grupo 9,CO-C4-P4-9,101
1333,Coach - Ciclo 4 - P4 - Grupo 10,CO-C4-P4-10,59
1334,Coach - Ciclo 4 - P4 - Grupo 11,CO-C4-P4-11,81
1335,Coach - Ciclo 4 - P4 - Grupo 12,CO-C4-P4-12,101
1336,Coach - Ciclo 4 - P4 - Grupo 13,CO-C4-P4-13,101
1337,Coach - Ciclo 4 - P4 - Grupo 14,CO-C4-P4-14,101
1338,Coach - Ciclo 4 - P4 - Grupo 15,CO-C4-P4-15,101
1339,Coach - Ciclo 4 - P4 - Grupo 16,CO-C4-P4-16,100
1340,Coach - Ciclo 4 - P4 - Grupo 17,CO-C4-P4-17,101
1341,Coach - Ciclo 4 - P4 - Grupo 18,CO-C4-P4-18,101
1342,Coach - Ciclo 4 - P4 - Grupo 19,CO-C4-P4-19,101
1343,Coach - Ciclo 4 - P4 - Grupo 20,CO-C4-P4-20,101
1344,Coach - Ciclo 4 - P4 - Grupo 21,CO-C4-P4-21,52
1345,Coach - Ciclo 4 - P4 - Grupo 22,CO-C4-P4-22,55
1346,Coach - Ciclo 4 - P4 - Grupo 23,CO-C4-P4-23,73
1347,Coach - Ciclo 4 - P4 - Grupo 24,CO-C4-P4-24,57
1348,Coach - Ciclo 4 - P4 - Grupo 25,CO-C4-P4-25,101
1349,Coach - Ciclo 4 - P4 - Grupo 26,CO-C4-P4-26,48
1350,Coach - Ciclo 4 - P4 - Grupo 27,CO-C4-P4-27,101
1351,Coach - Ciclo 4 - P4 - Grupo 28,CO-C4-P4-28,101
1352,Coach - Ciclo 4 - P4 - Grupo 29,CO-C4-P4-29,88
1353,Coach - Ciclo 4 - P4 - Grupo 30,CO-C4-P4-30,48
1354,Coach - Ciclo 4 - P4 - Grupo 31,CO-C4-P4-31,48
1355,Coach - Ciclo 4 - P4 - Grupo 32,CO-C4-P4-32,101
1356,Coach - Ciclo 4 - P4 - Grupo 33,CO-C4-P4-33,101
1357,Coach - Ciclo 4 - P4 - Grupo 34,CO-C4-P4-34,101
1358,Coach - Ciclo 4 - P4 - Grupo 35,CO-C4-P4-35,101
1359,Coach - Ciclo 4 - P4 - Grupo 36,CO-C4-P4-36,102
1360,Coach - Ciclo 4 - P4 - Grupo 37,CO-C4-P4-37,60
1361,Coach - Ciclo 4 - P4 - Grupo 38,CO-C4-P4-38,101
1362,Coach - Ciclo 4 - P4 - Grupo 39,CO-C4-P4-39,101
1363,Coach - Ciclo 4 - P4 - Grupo 40,CO-C4-P4-40,101
1364,Coach - Ciclo 4 - P4 - Grupo 41,CO-C4-P4-41,100
1365,Coach - Ciclo 4 - P4 - Grupo 42,CO-C4-P4-42,100
1366,Coach - Ciclo 4 - P4 - Grupo 43,CO-C4-P4-43,52
1367,Coach - Ciclo 4 - P4 - Grupo 44,CO-C4-P4-44,101
1368,Coach - Ciclo 4 - P4 - Grupo 45,CO-C4-P4-45,100
1369,Coach - Ciclo 4 - P4 - Grupo 46,CO-C4-P4-46,101
1370,Coach - Ciclo 4 - P4 - Grupo 47,CO-C4-P4-47,101
1371,Coach - Ciclo 4 - P4 - Grupo 48,CO-C4-P4-48,100
1372,Coach - Ciclo 4 - P4 - Grupo 49,CO-C4-P4-49,81
1373,Coach - Ciclo 4 - P4 - Grupo 50,CO-C4-P4-50,52
1375,Habilitación Desarrollo de Software - Ciclo 3 - P3 - Grupo 1,DS-C3-P3H-1,3068
1376,Habilitación Inglés - Ciclo 3 - P3 - Grupo 1,IN-C3-P3H-1,2742
1377,Desarrollo de Aplicaciones Móviles - Ciclo 4B - P4 - Aula Base Tutores,DAM-C4B-P4-ABT,6
1378,Desarrollo de Aplicaciones Web - Ciclo 4A - P4 - Aula Base Tutores,DAW-C4A-P4-ABT,22
1379,Aula de tutorías - Ciclo 4A - P4 - 1,AT-C4A-P4-1,282
1380,Aula de tutorías - Ciclo 4A - P4 - 2,AT-C4A-P4-2,250
1381,Aula de tutorías - Ciclo 4A - P4 - 3,AT-C4A-P4-3,245
1382,Aula de tutorías - Ciclo 4A - P4 - 4,AT-C4A-P4-4,280
1383,Aula de tutorías - Ciclo 4A - P4 - 5,AT-C4A-P4-5,239
1384,Aula de tutorías - Ciclo 4A - P4 - 6,AT-C4A-P4-6,234
1385,Aula de tutorías - Ciclo 4A - P4 - 7,AT-C4A-P4-7,279
1386,Aula de tutorías - Ciclo 4A - P4 - 8,AT-C4A-P4-8,281
1387,Aula de tutorías - Ciclo 4A - P4 - 9,AT-C4A-P4-9,244
1388,Aula de tutorías - Ciclo 4A - P4 - 12,AT-C4A-P4-12,234
1389,Aula de tutorías - Ciclo 4A - P4 - 13,AT-C4A-P4-13,236
1390,Aula de tutorías - Ciclo 4A - P4 - 14,AT-C4A-P4-14,205
1391,Aula de tutorías - Ciclo 4A - P4 - 15,AT-C4A-P4-15,236
1392,Aula de tutorías - Ciclo 4A - P4 - 16,AT-C4A-P4-16,274
1393,Aula de tutorías - Ciclo 4A - P4 - 17,AT-C4A-P4-17,232
1394,Aula de tutorías - Ciclo 4A - P4 - 18,AT-C4A-P4-18,92
1395,Aula de tutorías - Ciclo 4B - P4 - 10,AT-C4B-P4-10,281
1396,Aula de tutorías - Ciclo 4B - P4 - 11,AT-C4B-P4-11,278
1397,Aula de Consejerías - P4,AC-P4,4886
1398,Aula de tutorías magistral - Ciclo 4 - P4,ATM-C4-P4,4885
1399,Aula de tutorías transversal - Ciclo 4 - P4,ATT-C4-P4,4885
1400,Aula Base Verificación - Fundamentos de Programación,ABVFP-C1-2022,1
1401,Aula base Verificación - Java,ABVJ-C2-2022,1
1402,Aula Base Verificación - Desarrollo de Software,ABVDS-C3-2022,1
1403,Aula colaborativa expertos Misión TIC,ACE-Mintic,4391
1404,Reto Extramotivacional,RE-P4,788
1407,Tutoriales Workshops -  Programación Básica - Ciclo 2,TW-PB-C2-P4,461
1410, Tutoriales Workshops - Desarrollo de Aplicaciones Web - Ciclo 4A,TW-DAW-C4A-P4,481
1411,Tutoriales Workshops - Fundamentos de Programación - Ciclo 1,TW-FP-C1-P4,162
1412,Tutoriales Workshops - DESARROLLO DE SOFTWARE - Ciclo 3,TW-DS-C3-P4,521
1413,Tutoriales Workshops - Desarrollo de Aplicaciones Móviles - Ciclo 4B,TW-DAM-C4B-P4,128
1414,Examen de Verificación - Ciclo 1 - Fundamentos de Programación,EV-F2-C1-P4,928
1415,Examen de Verificación - Ciclo 2 - Programación Básica,EV-F2-C2-P4,1973
1416,Examen de Verificación - Ciclo 3 - Desarrollo de Software,EV-F2-C3-P4,2287
1417,Examen de Verificación - Ciclo 1 - Inglés,EVIN-F2-C1-P4,702
1418,Examen de Verificación - Ciclo 2 - Inglés,EVIN-F2-C2-P4,1720
1419,Examen de Verificación - Ciclo 3 - Inglés,EVIN-F2-C3-P4,2130
1420,Examen Verificación - Ciclo 4A - Desarrollo de Aplicaciones WEB,EV-F2-C4A-P4,2477
1421,Examen Verificación - Ciclo 4B - Desarrollo de Aplicaciones Móviles,EV-F2-C4B-P4,296
1422,Examen de Verificación - Ciclo 4 - Inglés,EVIN-F2-C4-P4,2578
